event_file;eeg_file;total_votes_received;fraction_of_yes;Mode
spkscal001-12_53906;spkscal001;10;1.0;Test
spkscal001-13_71875;spkscal001;10;1.0;Test
spkscal001-14_27734;spkscal001;10;1.0;Test
spkscal001-15_52539;spkscal001;10;1.0;Test
spkscal001-16_11914;spkscal001;10;1.0;Test
spkscal001-16_74805;spkscal001;10;1.0;Test
spkscal001-22_97852;spkscal001;10;1.0;Test
spkscal001-91_15234;spkscal001;10;1.0;Test
spkscal001-96_99219;spkscal001;10;1.0;Test
spkscal001-100_53516;spkscal001;10;1.0;Test
spkscal001-101_1875;spkscal001;10;1.0;Test
spkscal001-101_27148;spkscal001;10;1.0;Test
spkscal001-141_33398;spkscal001;10;1.0;Test
spkscal001-255_35938;spkscal001;10;1.0;Test
spkscal001-258_81641;spkscal001;10;1.0;Test
spkscal001-259_8125;spkscal001;10;1.0;Test
spkscal001-414_25781;spkscal001;10;1.0;Test
spkscal001-416_36328;spkscal001;10;1.0;Test
spkscal001-417_19531;spkscal001;10;1.0;Test
spkscal001-417_96875;spkscal001;10;1.0;Test
spkscal001-418_45312;spkscal001;10;1.0;Test
spkscal001-419_75781;spkscal001;10;1.0;Test
spkscal001-420_26953;spkscal001;10;1.0;Test
spkscal001-457_05664;spkscal001;10;1.0;Test
spkscal001-457_88086;spkscal001;10;1.0;Test
spkscal001-458_08398;spkscal001;10;1.0;Test
spkscal001-458_92773;spkscal001;10;1.0;Test
spkscal001-459_60156;spkscal001;10;1.0;Test
spkscal001-468_79492;spkscal001;10;1.0;Test
spkscal001-508_79297;spkscal001;10;1.0;Test
spkscal001-509_4375;spkscal001;10;1.0;Test
spkscal001-510_74414;spkscal001;10;1.0;Test
spkscal001-511_30859;spkscal001;10;1.0;Test
spkscal001-512_45508;spkscal001;10;1.0;Test
spkscal001-513_07422;spkscal001;10;1.0;Test
spkscal001-516_73828;spkscal001;10;1.0;Test
spkscal001-517_31445;spkscal001;10;1.0;Test
spkscal001-520_91797;spkscal001;10;1.0;Test
spkscal001-521_24023;spkscal001;10;1.0;Test
spkscal001-521_9043;spkscal001;10;1.0;Test
spkscal001-550_64844;spkscal001;10;1.0;Test
spkscal001-551_67578;spkscal001;10;1.0;Test
spkscal001-553_92188;spkscal001;10;1.0;Test
spkscal001-586_41211;spkscal001;10;1.0;Test
spkscal001-586_97656;spkscal001;10;1.0;Test
spkscal001-587_53125;spkscal001;10;1.0;Test
spkscal001-590_80859;spkscal001;10;1.0;Test
spkscal001-592_24805;spkscal001;10;1.0;Test
spkscal001-611_64844;spkscal001;10;1.0;Test
spkscal001-615_9668;spkscal001;10;1.0;Test
spkscal001-623_56641;spkscal001;10;1.0;Test
spkscal001-629_62891;spkscal001;10;1.0;Test
spkscal001-630_25391;spkscal001;10;1.0;Test
spkscal001-637_70117;spkscal001;10;1.0;Test
spkscal001-638_38086;spkscal001;10;1.0;Test
spkscal001-638_94727;spkscal001;10;1.0;Test
spkscal001-641_72461;spkscal001;10;1.0;Test
spkscal001-779_47656;spkscal001;10;1.0;Test
spkscal001-780_86328;spkscal001;10;1.0;Test
spkscal001-781_33398;spkscal001;10;1.0;Test
spkscal001-875_5957;spkscal001;10;1.0;Test
spkscal001-876_06836;spkscal001;10;1.0;Test
spkscal001-876_60156;spkscal001;10;1.0;Test
spkscal001-882_31055;spkscal001;10;1.0;Test
spkscal001-882_73633;spkscal001;10;1.0;Test
spkscal001-952_40039;spkscal001;10;1.0;Test
spkscal001-1009_25977;spkscal001;10;1.0;Test
spkscal001-1009_79102;spkscal001;10;1.0;Test
spkscal001-1010_34375;spkscal001;10;1.0;Test
spkscal001-1010_95898;spkscal001;10;1.0;Test
spkscal001-1011_49609;spkscal001;10;1.0;Test
spkscal001-1013_5;spkscal001;10;1.0;Test
spkscal001-1014_34375;spkscal001;10;1.0;Test
spkscal001-1014_98438;spkscal001;10;1.0;Test
spkscal001-1015_49219;spkscal001;10;1.0;Test
spkscal001-1016_64062;spkscal001;10;1.0;Test
spkscal001-1017_18359;spkscal001;10;1.0;Test
spkscal001-1017_65234;spkscal001;10;1.0;Test
spkscal001-1018_23633;spkscal001;10;1.0;Test
spkscal001-1018_67969;spkscal001;10;1.0;Test
